" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","12,619","12,348","10,460","9,340","8,895","8,932","8,504","7,461","6,326","6,914"
"Felony Offense","11,674","11,453","9,527","8,571","8,167","8,305","8,026","7,238","6,107","6,682"
"Misdemeanor Offense","945","895","933","769","728","627","478","223","219","232"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","9,975","9,003","6,773","7,546","7,148","6,700","5,932","3,605","5,038","5,726"
"Removed from Probation","10,829","9,274","8,661","8,666","7,593","6,663","6,360","4,339","6,140","5,127"
"Terminated","4,956","4,779","4,896","4,314","3,463","3,146","3,333","2,515","3,856","2,634"
"Revoked","5,494","4,452","3,747","4,314","4,067","3,471","2,987","1,801","2,228","2,445"
"Other","379","43","18","38","63","46","40","23","56","48"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","8,787","7,876","5,643","6,548","6,205","5,818","5,389","3,455","4,792","5,489"
"Removed from Probation","9,443","8,097","7,569","7,504","6,609","5,680","5,668","3,963","5,923","4,914"
"Terminated","4,542","4,231","4,406","3,771","3,037","2,723","2,920","2,181","3,720","2,519"
"Revoked","4,854","3,866","3,163","3,721","3,572","2,957","2,748","1,777","2,203","2,376"
"Other","47","0","0","12","0","0","0","5","0","19"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","1,188","1,127","1,130","998","943","882","543","150","246","237"
"Removed from Probation","1,386","1,177","1,092","1,162","984","983","692","376","217","213"
"Terminated","414","548","490","543","426","423","413","334","136","115"
"Revoked","640","586","584","593","495","514","239","24","25","69"
"Other","332","43","18","26","63","46","40","18","56","29"
