" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","31,315","36,696","39,867","19,784","19,094","18,494","18,338","17,379","12,228","12,730"
"Felony Offense","31,315","36,696","39,867","15,066","14,989","14,590","14,599","13,910","8,986","9,708"
"Misdemeanor Offense","0","0","0","4,718","4,105","3,904","3,739","3,469","3,242","3,022"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","11,617","12,812","11,330","4,659","4,084","3,892","3,981","2,565","3,139","3,750"
"Removed from Probation","6,197","7,431","8,159","5,003","4,774","4,492","4,137","3,520","8,290","3,244"
"Terminated","1,054","1,156","1,592","4,999","4,680","4,444","4,111","3,516","8,286","3,212"
"Revoked","4,418","5,291","5,258","0","0","0","0","0","0","0"
"Other","725","984","1,309","4","94","48","26","4","4","32"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","11,617","12,812","11,330","3,424","3,155","3,001","3,090","2,042","2,507","3,179"
"Removed from Probation","6,197","7,431","8,159","3,575","3,232","3,400","3,081","2,731","7,431","2,451"
"Terminated","1,054","1,156","1,592","3,575","3,232","3,400","3,081","2,731","7,431","2,451"
"Revoked","4,418","5,291","5,258","0","0","0","0","0","0","0"
"Other","725","984","1,309","0","0","0","0","0","0","0"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","0","0","0","1,235","929","891","891","523","632","571"
"Removed from Probation","0","0","0","1,428","1,542","1,092","1,056","789","859","793"
"Terminated","0","0","0","1,424","1,448","1,044","1,030","785","855","761"
"Revoked","0","0","0","0","0","0","0","0","0","0"
"Other","0","0","0","4","94","48","26","4","4","32"
