" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","479","364","366","413","312","324","315","245","165","197"
"Felony Offense","320","190","255","277","191","184","172","146","112","95"
"Misdemeanor Offense","159","174","111","136","121","140","143","99","53","102"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","395","265","347","275","217","207","189","130","105","139"
"Removed from Probation","345","380","345","228","318","195","198","198","181","131"
"Terminated","129","102","93","64","75","52","70","66","117","51"
"Revoked","36","154","87","127","203","107","89","85","43","47"
"Other","180","124","165","37","40","36","39","47","21","33"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","213","148","241","177","118","99","84","79","72","82"
"Removed from Probation","213","278","176","155","204","106","98","99","104","84"
"Terminated","82","81","68","46","53","35","44","42","56","29"
"Revoked","20","129","55","80","125","55","37","34","33","30"
"Other","111","68","53","29","26","16","17","23","15","25"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","182","117","106","98","99","108","105","51","33","57"
"Removed from Probation","132","102","169","73","114","89","100","99","77","47"
"Terminated","47","21","25","18","22","17","26","24","61","22"
"Revoked","16","25","32","47","78","52","52","51","10","17"
"Other","69","56","112","8","14","20","22","24","6","8"
