" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","22,885","15,146","14,650","13,713","12,872","12,384","11,616","10,144","9,332","9,149"
"Felony Offense","22,711","14,447","14,521","13,582","12,766","12,297","11,548","10,125","9,310","9,135"
"Misdemeanor Offense","174","699","129","131","106","87","68","19","22","14"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","11,795","8,414","10,739","9,861","9,545","9,490","8,340","7,765","8,294","7,425"
"Removed from Probation","15,956","8,643","9,955","7,655","8,711","8,625","8,024","8,070","8,450","6,838"
"Terminated","11,277","8,278","6,237","4,557","5,449","5,294","4,776","4,800","5,177","4,015"
"Revoked","4,679","50","3,690","3,047","3,220","3,295","3,203","3,203","3,191","2,760"
"Other","0","315","28","51","42","36","45","67","82","63"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","11,754","7,759","10,624","9,775","9,444","9,422","8,270","7,725","8,267","7,413"
"Removed from Probation","15,040","8,097","8,770","7,370","8,401","8,409","7,829","8,009","8,425","6,814"
"Terminated","10,430","7,795","5,103","4,313","5,155","5,093","4,590","4,752","5,160","4,001"
"Revoked","4,610","39","3,639","3,034","3,204","3,280","3,194","3,193","3,183","2,754"
"Other","0","263","28","23","42","36","45","64","82","59"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","41","655","115","86","101","68","70","40","27","12"
"Removed from Probation","916","546","1,185","285","310","216","195","61","25","24"
"Terminated","847","483","1,134","244","294","201","186","48","17","14"
"Revoked","69","11","51","13","16","15","9","10","8","6"
"Other","0","52","0","28","0","0","0","3","0","4"
