" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","12,944","12,438","9,894","9,740","9,376","9,630","9,750","8,196","6,773","7,421"
"Felony Offense","12,284","11,819","9,214","8,943","8,607","8,870","9,035","7,663","6,360","6,952"
"Misdemeanor Offense","660","619","680","797","769","760","715","533","413","469"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","5,843","6,534","4,609","5,172","5,435","4,831","5,047","2,474","4,811","5,289"
"Removed from Probation","6,830","7,284","7,234","6,680","5,631","4,848","5,120","3,972","6,319","4,712"
"Terminated","3,515","3,073","3,681","3,376","2,654","2,286","2,295","2,157","4,150","2,155"
"Revoked","3,285","4,177","3,505","3,257","2,893","2,525","2,758","1,706","2,097","2,461"
"Other","30","34","48","47","84","37","67","109","72","96"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","5,521","6,272","4,334","4,744","4,981","4,418","4,668","2,339","4,579","5,025"
"Removed from Probation","6,522","6,935","6,419","5,535","5,155","4,423","4,735","3,698","5,930","4,485"
"Terminated","3,378","2,908","3,112","2,504","2,347","2,003","2,062","1,976","3,848","2,021"
"Revoked","3,115","3,994","3,262","2,989","2,743","2,392","2,622","1,630","2,017","2,381"
"Other","29","33","45","42","65","28","51","92","65","83"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","322","262","275","428","454","413","379","135","232","264"
"Removed from Probation","308","349","815","1,145","476","425","385","274","389","227"
"Terminated","137","165","569","872","307","283","233","181","302","134"
"Revoked","170","183","243","268","150","133","136","76","80","80"
"Other","1","1","3","5","19","9","16","17","7","13"
