" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","5,519","4,603","3,854","3,599","3,274","2,864","2,491","2,278","1,413","1,153"
"Felony Offense","4,005","3,368","2,655","2,462","2,320","2,030","1,641","1,522","880","756"
"Misdemeanor Offense","1,514","1,235","1,199","1,137","954","834","850","756","533","397"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","2,687","2,641","3,012","3,083","5,045","2,669","2,523","1,504","1,061","984"
"Removed from Probation","3,148","3,557","3,761","3,338","5,370","2,671","2,558","1,717","1,926","1,920"
"Terminated","1,059","1,245","1,011","736","811","890","819","839","1,211","1,354"
"Revoked","319","213","145","120","366","1,145","131","74","62","115"
"Other","1,770","2,099","2,605","2,482","4,193","636","1,608","804","653","451"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","1,968","2,025","2,081","2,307","4,304","2,084","1,835","1,137","753","685"
"Removed from Probation","2,477","2,662","2,794","2,500","4,446","2,137","1,905","1,256","1,395","1,485"
"Terminated","900","1,012","765","529","495","645","542","571","849","1,079"
"Revoked","271","191","106","96","275","961","121","64","56","96"
"Other","1,306","1,459","1,923","1,875","3,676","531","1,242","621","490","310"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","719","616","931","776","741","585","688","367","308","299"
"Removed from Probation","671","895","967","838","924","534","653","461","531","435"
"Terminated","159","233","246","207","316","245","277","268","362","275"
"Revoked","48","22","39","24","91","184","10","10","6","19"
"Other","464","640","682","607","517","105","366","183","163","141"
