" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","4,980","5,346","5,756","6,005","5,991","5,950","5,952","5,517","5,371","5,309"
"Homicide","47","67","64","62","68","52","50","84","63","60"
"Rape (Forcible Rape prior to 2014)","135","175","198","220","247","288","301","264","278","273"
"Rape","113","150","171","198","230","272","281","237","262","270"
"Attempted Rape","22","25","27","22","17","16","20","27","16","3"
"Robbery","1,477","1,487","1,540","1,624","1,671","1,656","1,560","1,281","1,046","1,250"
"Weapon","","","","","","","","","",""
"Firearm","531","553","544","559","548","479","396","360","294","427"
"Knife or Cutting Instrument","88","113","105","109","114","117","129","73","85","79"
"Other Weapon","177","185","197","210","249","287","257","229","163","213"
"Strong-Arm","681","636","694","746","760","773","778","619","504","531"
"Location","","","","","","","","","",""
"Highway","509","559","519","528","181","127","89","87","226","306"
"Commercial","234","182","183","219","293","327","377","243","160","257"
"Gas Station","25","25","43","25","41","44","38","35","32","61"
"Convenience Store","160","142","199","225","173","144","142","160","108","139"
"Residence","234","224","227","266","235","209","186","157","167","185"
"Bank","29","15","29","30","25","15","13","9","11","19"
"Miscellaneous","286","340","340","331","723","790","715","590","342","283"
"Aggravated Assault","3,321","3,617","3,954","4,099","4,005","3,954","4,041","3,888","3,984","3,726"
"Weapon","","","","","","","","","",""
"Firearm","916","961","924","1,115","1,039","919","942","891","1,465","1,488"
"Knife or Cutting Instrument","306","317","389","330","333","302","334","324","336","364"
"Other Weapon","1,184","1,341","1,543","1,535","1,536","1,608","1,643","1,630","1,631","1,410"
"Hands  Fists  Feet","915","998","1,098","1,119","1,097","1,125","1,122","1,043","552","464"
"Property Crimes","28,603","25,092","25,031","22,629","21,751","22,123","21,409","17,805","17,515","15,472"
"Burglary","7,538","5,685","5,251","4,239","3,925","4,231","3,771","2,817","2,745","2,879"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","5,116","3,687","3,547","2,894","2,620","2,917","2,672","2,015","1,915","2,131"
"No Force","2,422","1,998","1,704","1,345","1,305","1,314","1,099","802","830","748"
"Location / Time","","","","","","","","","",""
"Residence","5,320","3,865","3,378","2,613","2,286","2,111","1,631","1,137","979","948"
"Night","854","734","753","601","518","525","419","285","309","337"
"Day","2,626","1,648","1,368","1,060","971","816","640","424","432","447"
"Unknown","1,840","1,483","1,257","952","797","770","572","428","238","164"
"Non-Residence","2,218","1,820","1,873","1,626","1,639","2,120","2,140","1,680","1,766","1,931"
"Night","826","653","730","691","720","915","887","741","810","947"
"Day","607","551","477","379","435","487","485","457","586","676"
"Unknown","785","616","666","556","484","718","768","482","370","308"
"Motor Vehicle Theft","3,996","3,829","4,037","3,542","3,861","3,729","3,078","2,897","2,700","2,225"
"Automotive","2,811","2,745","2,975","2,447","2,589","2,385","1,879","1,707","1,993","1,737"
"Trucks and Buses","963","860","828","846","1,027","1,087","946","892","490","266"
"Other","222","224","234","249","245","257","253","298","217","222"
"Larceny-Theft","17,069","15,578","15,743","14,848","13,965","14,163","14,560","12,091","12,070","10,368"
"Type","","","","","","","","","",""
"Pocket-Picking","25","30","21","23","17","17","33","23","33","55"
"Purse-Snatching","57","54","30","19","21","35","39","41","44","55"
"Shoplifting","3,056","2,859","3,547","2,872","2,434","2,530","3,065","2,653","2,700","2,328"
"From Motor Vehicle","5,749","5,480","5,335","5,695","5,966","5,601","5,437","3,559","2,882","2,930"
"Motor Vehicle Accessories","1,834","1,378","1,283","1,360","1,269","1,684","1,843","1,991","2,986","1,966"
"Bicycles","470","546","609","443","358","313","234","174","137","116"
"From Building","1,265","1,156","1,187","1,066","950","996","844","573","822","922"
"Coin Operated Machine","143","60","28","31","41","9","21","30","2","2"
"Other","4,470","4,015","3,703","3,339","2,909","2,978","3,044","3,047","2,464","1,994"
"Value","","","","","","","","","",""
"Over $400","6,036","5,475","5,450","5,297","5,038","5,434","5,524","4,734","null","null"
"Over $200","0","0","0","0","0","0","0","0","7,262","6,708"
"$200 through $400","2,256","2,002","2,130","2,022","1,902","2,030","2,067","1,551","null","null"
"$50 through $199","3,349","3,222","3,345","2,881","2,591","2,501","2,777","1,977","1,562","1,351"
"Under $50","5,428","4,879","4,818","4,648","4,434","4,198","4,192","3,829","3,246","2,309"
"Arson","157","146","194","132","270","259","203","275","285","276"
"Structural Property","71","64","87","68","133","92","92","128","98","80"
"Mobile Property","43","23","40","19","44","73","29","41","76","51"
"Other Property","43","59","67","45","93","94","82","106","111","145"
