" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","5,551","5,409","4,949","4,379","4,411","5,264","5,983","5,874","3,085","3,300"
"Felony Offense","4,024","3,733","3,165","2,621","2,582","2,765","3,125","3,061","1,659","1,819"
"Misdemeanor Offense","1,527","1,676","1,784","1,758","1,829","2,499","2,858","2,813","1,426","1,481"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","2,331","2,260","1,655","1,332","1,510","1,895","2,374","1,056","1,261","1,685"
"Removed from Probation","2,701","2,402","2,115","1,902","1,472","1,042","1,655","1,168","1,582","4,322"
"Terminated","1,443","1,309","1,226","1,210","981","788","964","644","973","3,632"
"Revoked","945","888","691","545","384","148","483","377","390","496"
"Other","313","205","198","147","107","106","208","147","219","194"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","1,620","1,488","1,019","763","876","797","1,084","616","755","982"
"Removed from Probation","1,982","1,779","1,587","1,307","915","614","724","684","993","2,278"
"Terminated","1,033","959","980","876","658","443","428","386","679","1,912"
"Revoked","686","640","436","305","183","94","194","211","230","297"
"Other","263","180","171","126","74","77","102","87","84","69"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","711","772","636","569","634","1,098","1,290","440","506","703"
"Removed from Probation","719","623","528","595","557","428","931","484","589","2,044"
"Terminated","410","350","246","334","323","345","536","258","294","1,720"
"Revoked","259","248","255","240","201","54","289","166","160","199"
"Other","50","25","27","21","33","29","106","60","135","125"
