" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","4,361","4,313","4,022","4,080","3,712","3,220","3,043","2,848","3,052","2,279"
"Felony Offense","2,741","2,603","2,222","2,293","2,274","2,125","2,111","2,111","2,101","1,464"
"Misdemeanor Offense","1,620","1,710","1,800","1,787","1,438","1,095","932","737","951","815"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","4,296","4,280","4,117","3,931","3,706","2,936","2,767","1,414","1,568","1,975"
"Removed from Probation","3,535","3,773","3,974","3,414","3,632","3,036","2,606","1,275","1,562","1,839"
"Terminated","1,703","1,654","1,829","1,680","1,882","1,251","1,056","596","1,270","1,524"
"Revoked","1,614","1,899","1,796","1,544","1,550","1,513","1,377","582","126","168"
"Other","218","220","349","190","200","272","173","97","166","147"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","2,138","2,159","1,576","1,426","1,388","1,316","1,342","806","958","1,184"
"Removed from Probation","1,576","1,834","1,613","1,213","1,271","1,284","1,184","608","1,099","1,416"
"Terminated","544","584","510","397","455","382","373","227","894","1,183"
"Revoked","865","1,067","810","675","671","714","698","321","100","130"
"Other","167","183","293","141","145","188","113","60","105","103"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","2,158","2,121","2,541","2,505","2,318","1,620","1,425","608","610","791"
"Removed from Probation","1,959","1,939","2,361","2,201","2,361","1,752","1,422","667","463","423"
"Terminated","1,159","1,070","1,319","1,283","1,427","869","683","369","376","341"
"Revoked","749","832","986","869","879","799","679","261","26","38"
"Other","51","37","56","49","55","84","60","37","61","44"
