" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","10,120","9,576","8,098","7,651","7,626","6,995","6,424","5,733","4,288","4,197"
"Felony Offense","7,955","7,317","5,931","5,613","5,577","5,329","4,982","4,549","3,413","3,324"
"Misdemeanor Offense","2,165","2,259","2,167","2,038","2,049","1,666","1,442","1,184","875","873"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","23,299","24,148","20,958","19,685","20,369","17,904","15,614","9,444","10,709","11,776"
"Removed from Probation","24,146","24,692","22,436","20,132","20,394","18,535","16,185","9,937","12,191","11,867"
"Terminated","6,042","5,388","5,600","3,938","3,947","3,653","3,235","2,602","3,292","2,611"
"Revoked","4,661","5,418","6,061","4,824","5,133","4,889","4,156","1,557","1,756","1,771"
"Other","13,443","13,886","10,775","11,370","11,314","9,993","8,794","5,778","7,143","7,485"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","15,643","16,474","11,741","12,184","12,397","12,113","11,225","7,241","8,432","8,978"
"Removed from Probation","16,337","17,112","13,127","12,502","12,433","12,361","11,572","7,539","9,568","9,067"
"Terminated","3,978","3,722","3,520","2,509","2,559","2,441","2,312","1,901","2,538","1,819"
"Revoked","3,166","3,647","2,939","2,724","2,738","2,836","2,820","1,163","1,400","1,445"
"Other","9,193","9,743","6,668","7,269","7,136","7,084","6,440","4,475","5,630","5,803"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","7,656","7,674","9,217","7,501","7,972","5,791","4,389","2,203","2,277","2,798"
"Removed from Probation","7,809","7,580","9,309","7,630","7,961","6,174","4,613","2,398","2,623","2,800"
"Terminated","2,064","1,666","2,080","1,429","1,388","1,212","923","701","754","792"
"Revoked","1,495","1,771","3,122","2,100","2,395","2,053","1,336","394","356","326"
"Other","4,250","4,143","4,107","4,101","4,178","2,909","2,354","1,303","1,513","1,682"
