" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","1,002","1,139","1,171","1,101","1,056","989","1,106","970","1,052","1,200"
"Homicide","11","9","6","5","3","5","6","12","12","2"
"Rape (Forcible Rape prior to 2014)","78","110","118","120","156","103","137","104","113","143"
"Rape","65","83","102","103","134","92","119","91","99","133"
"Attempted Rape","13","27","16","17","22","11","18","13","14","10"
"Robbery","199","236","279","209","232","173","182","172","192","225"
"Weapon","","","","","","","","","",""
"Firearm","60","45","66","51","53","45","25","29","42","28"
"Knife or Cutting Instrument","29","31","51","35","39","24","34","27","30","34"
"Other Weapon","20","22","25","21","28","10","22","18","19","29"
"Strong-Arm","90","138","137","102","112","94","101","98","101","134"
"Location","","","","","","","","","",""
"Highway","22","25","35","33","28","30","22","28","23","48"
"Commercial","4","4","14","11","6","10","7","9","11","27"
"Gas Station","8","13","8","9","11","4","4","9","17","8"
"Convenience Store","25","21","29","9","23","18","19","13","33","28"
"Residence","14","17","24","19","21","14","21","20","25","28"
"Bank","7","8","11","5","4","1","2","2","2","1"
"Miscellaneous","119","148","158","123","139","96","107","91","81","85"
"Aggravated Assault","714","784","768","767","665","708","781","682","735","830"
"Weapon","","","","","","","","","",""
"Firearm","46","57","68","90","80","55","57","79","56","56"
"Knife or Cutting Instrument","88","99","91","125","128","140","106","118","122","103"
"Other Weapon","222","232","260","269","231","234","273","275","297","309"
"Hands  Fists  Feet","358","396","349","283","226","279","345","210","260","362"
"Property Crimes","8,140","8,121","9,282","9,485","8,947","7,530","7,005","6,155","5,478","5,239"
"Burglary","1,640","1,369","1,463","1,221","1,235","1,064","1,039","905","780","754"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","774","637","795","720","734","658","657","551","498","538"
"No Force","866","732","668","501","501","406","382","354","282","216"
"Location / Time","","","","","","","","","",""
"Residence","962","791","894","680","584","526","411","379","256","220"
"Night","239","172","270","230","251","155","143","122","86","80"
"Day","421","367","323","224","187","188","130","104","90","98"
"Unknown","302","252","301","226","146","183","138","153","80","42"
"Non-Residence","678","578","569","541","651","538","628","526","524","534"
"Night","313","273","284","347","375","296","344","282","249","314"
"Day","190","164","89","90","117","117","99","103","135","158"
"Unknown","175","141","196","104","159","125","185","141","140","62"
"Motor Vehicle Theft","1,023","1,083","1,164","1,454","1,267","957","828","998","723","603"
"Automotive","792","855","901","1,115","964","716","623","700","460","366"
"Trucks and Buses","114","118","152","201","187","151","140","173","174","153"
"Other","117","110","111","138","116","90","65","125","89","84"
"Larceny-Theft","5,477","5,669","6,655","6,810","6,445","5,509","5,138","4,252","3,975","3,882"
"Type","","","","","","","","","",""
"Pocket-Picking","25","24","22","17","20","10","14","10","23","31"
"Purse-Snatching","33","19","21","20","34","17","9","20","19","21"
"Shoplifting","1,034","1,094","1,132","1,145","902","716","727","477","486","504"
"From Motor Vehicle","1,649","1,975","2,681","2,881","2,858","2,321","2,237","1,807","1,452","1,357"
"Motor Vehicle Accessories","302","279","363","406","445","500","390","488","583","371"
"Bicycles","745","626","845","698","607","532","397","339","303","422"
"From Building","429","352","433","478","427","337","360","314","273","292"
"Coin Operated Machine","16","14","26","17","28","18","17","12","8","8"
"Other","1,244","1,286","1,132","1,148","1,124","1,058","987","785","828","876"
"Value","","","","","","","","","",""
"Over $400","1,877","2,098","2,620","2,659","2,666","2,191","2,197","1,920","null","null"
"Over $200","0","0","0","0","0","0","0","0","2,415","2,507"
"$200 through $400","932","930","1,082","1,083","1,021","816","764","605","null","null"
"$50 through $199","1,118","1,091","1,306","1,315","1,125","1,031","938","677","592","487"
"Under $50","1,550","1,550","1,647","1,753","1,633","1,471","1,239","1,050","968","888"
"Arson","60","52","49","38","69","84","54","75","74","71"
"Structural Property","30","21","25","19","37","27","16","26","24","25"
"Mobile Property","16","16","6","12","7","7","5","8","7","5"
"Other Property","14","15","18","7","25","50","33","41","43","41"
