" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","37","32","35","41","39","37","39","37","31","29"
"Felony Offense","27","24","24","29","27","26","31","22","17","16"
"Misdemeanor Offense","10","8","11","12","12","11","8","15","14","13"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","16","6","13","20","11","8","9","11","15","15"
"Removed from Probation","17","11","10","14","13","10","9","18","21","17"
"Terminated","11","5","7","12","8","8","8","4","11","9"
"Revoked","2","5","2","0","0","1","1","5","2","0"
"Other","4","1","1","2","5","1","0","9","8","8"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","11","4","8","14","8","7","7","4","8","5"
"Removed from Probation","11","7","8","9","10","7","4","13","13","6"
"Terminated","8","3","6","7","7","5","4","3","7","4"
"Revoked","1","3","1","0","0","1","0","4","1","0"
"Other","2","1","1","2","3","1","0","6","5","2"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","5","2","5","6","3","1","2","7","7","10"
"Removed from Probation","6","4","2","5","3","3","5","5","8","11"
"Terminated","3","2","1","5","1","3","4","1","4","5"
"Revoked","1","2","1","0","0","0","1","1","1","0"
"Other","2","0","0","0","2","0","0","3","3","6"
