" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","116","137","135","161","176","180","181","225","259","319"
"Homicide","1","1","4","3","6","3","6","2","4","1"
"Rape (Forcible Rape prior to 2014)","8","6","14","11","15","14","13","18","23","32"
"Rape","7","6","14","11","13","13","13","18","23","31"
"Attempted Rape","1","0","0","0","2","1","0","0","0","1"
"Robbery","8","10","16","10","8","8","9","5","14","8"
"Weapon","","","","","","","","","",""
"Firearm","1","3","6","3","1","2","2","4","9","2"
"Knife or Cutting Instrument","1","1","1","0","0","2","1","0","1","0"
"Other Weapon","0","0","3","1","1","0","1","0","0","2"
"Strong-Arm","6","6","6","6","6","4","5","1","4","4"
"Location","","","","","","","","","",""
"Highway","0","1","1","1","1","1","1","0","4","5"
"Commercial","0","2","3","0","0","1","3","0","0","0"
"Gas Station","1","1","2","1","1","1","1","0","0","0"
"Convenience Store","1","0","1","1","0","0","0","0","1","0"
"Residence","4","4","5","3","1","1","2","5","8","2"
"Bank","0","0","0","0","1","0","0","0","0","0"
"Miscellaneous","2","2","4","4","4","4","2","0","1","1"
"Aggravated Assault","99","120","101","137","147","155","153","200","218","278"
"Weapon","","","","","","","","","",""
"Firearm","10","3","2","9","4","13","10","17","28","22"
"Knife or Cutting Instrument","13","23","16","22","22","15","16","19","19","32"
"Other Weapon","31","40","29","42","48","44","51","48","57","70"
"Hands  Fists  Feet","45","54","54","64","73","83","76","116","114","154"
"Property Crimes","773","724","793","876","800","654","636","663","704","737"
"Burglary","240","201","214","267","290","197","161","167","150","147"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","109","104","143","170","190","117","103","105","101","85"
"No Force","131","97","71","97","100","80","58","62","49","62"
"Location / Time","","","","","","","","","",""
"Residence","131","124","102","156","145","112","93","111","78","80"
"Night","11","22","22","29","29","18","19","28","17","33"
"Day","34","22","25","35","22","26","8","23","15","22"
"Unknown","86","80","55","92","94","68","66","60","46","25"
"Non-Residence","109","77","112","111","145","85","68","56","72","67"
"Night","43","32","42","49","47","43","24","31","42","32"
"Day","17","7","11","8","28","8","5","11","4","22"
"Unknown","49","38","59","54","70","34","39","14","26","13"
"Motor Vehicle Theft","65","73","118","142","129","93","93","115","166","144"
"Automotive","40","50","73","94","95","70","68","89","108","66"
"Trucks and Buses","8","10","17","13","10","11","9","11","24","41"
"Other","17","13","28","35","24","12","16","15","34","37"
"Larceny-Theft","468","450","461","467","381","364","382","381","388","446"
"Type","","","","","","","","","",""
"Pocket-Picking","0","1","0","0","2","1","0","2","0","17"
"Purse-Snatching","2","0","0","1","2","1","6","7","2","2"
"Shoplifting","69","119","138","113","103","127","122","83","78","99"
"From Motor Vehicle","87","73","71","85","68","62","64","65","73","102"
"Motor Vehicle Accessories","20","19","14","26","22","32","27","29","65","31"
"Bicycles","34","32","27","47","19","14","11","15","10","10"
"From Building","134","100","106","95","58","58","43","38","34","41"
"Coin Operated Machine","0","12","7","9","2","3","4","2","0","2"
"Other","122","94","98","91","105","66","105","140","126","142"
"Value","","","","","","","","","",""
"Over $400","145","117","127","145","112","136","123","175","null","null"
"Over $200","0","0","0","0","0","0","0","0","229","261"
"$200 through $400","91","93","76","64","59","39","45","36","null","null"
"$50 through $199","103","138","126","106","89","73","78","63","58","75"
"Under $50","129","102","132","152","121","116","136","107","101","110"
"Arson","4","6","3","5","4","2","1","5","6","2"
"Structural Property","1","4","1","2","1","1","0","3","4","2"
"Mobile Property","1","0","0","1","1","0","0","1","2","0"
"Other Property","2","2","2","2","2","1","1","1","0","0"
