" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","3,094","2,935","2,655","2,695","2,763","2,605","2,290","2,266","1,712","2,018"
"Felony Offense","2,300","2,066","1,671","1,700","1,715","1,610","1,444","1,430","1,190","1,444"
"Misdemeanor Offense","794","869","984","995","1,048","995","846","836","522","574"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","886","895","790","838","845","604","707","282","975","1,327"
"Removed from Probation","811","888","817","604","551","620","670","410","1,378","1,563"
"Terminated","595","576","521","368","381","445","450","305","1,266","936"
"Revoked","106","149","153","147","96","89","112","26","112","627"
"Other","110","163","143","89","74","86","108","79","0","0"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","711","688","510","583","521","409","445","184","708","935"
"Removed from Probation","620","610","484","366","311","360","403","252","885","938"
"Terminated","442","389","270","190","180","228","252","180","820","554"
"Revoked","99","134","139","124","87","73","88","24","65","384"
"Other","79","87","75","52","44","59","63","48","0","0"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","175","207","280","255","324","195","262","98","267","392"
"Removed from Probation","191","278","333","238","240","260","267","158","493","625"
"Terminated","153","187","251","178","201","217","198","125","446","382"
"Revoked","7","15","14","23","9","16","24","2","47","243"
"Other","31","76","68","37","30","27","45","31","0","0"
