" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","2,529","2,365","2,147","2,105","1,955","1,505","1,282","1,093","756","1,136"
"Felony Offense","1,996","1,977","1,924","1,953","1,837","1,505","1,282","1,093","756","1,136"
"Misdemeanor Offense","533","388","223","152","118","0","0","0","0","0"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","2,159","2,176","2,106","2,106","2,137","1,719","1,684","1,234","1,377","1,455"
"Removed from Probation","2,359","2,340","2,324","2,148","2,287","2,169","1,962","1,438","1,714","1,532"
"Terminated","1,160","1,058","1,014","894","844","880","785","681","965","723"
"Revoked","941","975","878","972","1,158","1,011","983","697","682","686"
"Other","258","307","432","282","285","278","194","60","67","123"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","1,588","1,645","1,495","1,523","1,442","1,160","1,159","923","1,025","1,098"
"Removed from Probation","1,758","1,664","1,548","1,494","1,558","1,492","1,382","1,127","1,362","1,175"
"Terminated","984","854","818","744","687","667","577","540","796","566"
"Revoked","715","777","707","718","831","751","756","568","556","558"
"Other","59","33","23","32","40","74","49","19","10","51"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","571","531","611","583","695","559","525","311","352","357"
"Removed from Probation","601","676","776","654","729","677","580","311","352","357"
"Terminated","176","204","196","150","157","213","208","141","169","157"
"Revoked","226","198","171","254","327","260","227","129","126","128"
"Other","199","274","409","250","245","204","145","41","57","72"
