" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","5,109","5,334","5,745","5,968","4,447","4,281","4,063","3,581","2,739","3,421"
"Felony Offense","4,766","4,929","5,153","5,694","3,337","3,348","3,329","3,052","2,604","3,303"
"Misdemeanor Offense","343","405","592","274","1,110","933","734","529","135","118"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","3,612","3,131","3,523","3,689","3,399","2,839","3,034","2,238","3,084","3,171"
"Removed from Probation","2,985","2,906","3,112","3,466","3,499","3,008","3,231","2,720","3,926","2,487"
"Terminated","437","439","420","383","1,614","1,432","1,662","1,535","2,305","1,205"
"Revoked","2,295","2,221","2,205","2,765","1,684","1,348","1,381","963","835","1,113"
"Other","253","246","487","318","201","228","188","222","786","169"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","3,602","3,018","1,789","1,867","2,318","2,159","2,509","1,899","2,572","3,049"
"Removed from Probation","2,976","2,855","1,565","1,326","2,362","2,146","2,509","2,176","3,020","2,345"
"Terminated","434","423","162","181","1,220","1,080","1,228","1,175","1,770","1,106"
"Revoked","2,289","2,186","929","846","992","941","1,145","842","782","1,094"
"Other","253","246","474","299","150","125","136","159","468","145"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","10","113","1,734","1,822","1,081","680","525","339","512","122"
"Removed from Probation","9","51","1,547","2,140","1,137","862","722","544","906","142"
"Terminated","3","16","258","202","394","352","434","360","535","99"
"Revoked","6","35","1,276","1,919","692","407","236","121","53","19"
"Other","0","0","13","19","51","103","52","63","318","24"
