" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","244","316","320","360","342","328","318","311","414","476"
"Homicide","4","0","1","9","1","1","4","5","5","2"
"Rape (Forcible Rape prior to 2014)","22","24","37","31","32","43","32","33","39","61"
"Rape","21","24","34","28","30","38","31","31","36","61"
"Attempted Rape","1","0","3","3","2","5","1","2","3","0"
"Robbery","44","66","76","82","87","77","65","82","65","71"
"Weapon","","","","","","","","","",""
"Firearm","12","25","22","23","17","18","12","8","14","4"
"Knife or Cutting Instrument","4","9","3","7","6","5","3","4","11","9"
"Other Weapon","6","7","15","10","13","13","11","9","6","14"
"Strong-Arm","22","25","36","42","51","41","39","61","34","44"
"Location","","","","","","","","","",""
"Highway","1","3","9","18","27","19","22","30","16","13"
"Commercial","8","17","17","9","13","14","13","15","12","24"
"Gas Station","2","5","4","1","3","2","3","0","1","1"
"Convenience Store","0","5","5","3","14","12","8","9","9","5"
"Residence","7","12","15","12","13","10","6","12","10","15"
"Bank","1","2","2","4","2","3","2","0","0","2"
"Miscellaneous","25","22","24","35","15","17","11","16","17","11"
"Aggravated Assault","174","226","206","238","222","207","217","191","305","342"
"Weapon","","","","","","","","","",""
"Firearm","19","21","16","42","18","26","25","39","47","73"
"Knife or Cutting Instrument","26","36","15","19","22","16","10","8","29","28"
"Other Weapon","73","87","90","102","110","104","108","97","163","121"
"Hands  Fists  Feet","56","82","85","75","72","61","74","47","66","120"
"Property Crimes","2,938","2,364","2,391","2,691","2,847","2,495","2,447","2,425","2,355","2,362"
"Burglary","779","627","614","641","610","418","398","409","339","276"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","429","306","319","392","345","200","222","229","173","130"
"No Force","350","321","295","249","265","218","176","180","166","146"
"Location / Time","","","","","","","","","",""
"Residence","458","320","356","365","336","224","189","167","171","121"
"Night","45","43","46","49","51","42","27","31","50","38"
"Day","146","84","105","141","101","51","61","45","68","83"
"Unknown","267","193","205","175","184","131","101","91","53","0"
"Non-Residence","321","307","258","276","274","194","209","242","168","155"
"Night","81","71","71","59","73","36","43","57","33","60"
"Day","68","70","57","50","59","59","57","51","64","95"
"Unknown","172","166","130","167","142","99","109","134","71","0"
"Motor Vehicle Theft","443","239","285","331","484","334","352","416","474","576"
"Automotive","317","169","209","207","372","220","237","262","303","309"
"Trucks and Buses","65","42","45","73","76","71","73","115","116","193"
"Other","61","28","31","51","36","43","42","39","55","74"
"Larceny-Theft","1,716","1,498","1,492","1,719","1,753","1,743","1,697","1,600","1,542","1,510"
"Type","","","","","","","","","",""
"Pocket-Picking","5","7","3","4","6","2","2","4","5","4"
"Purse-Snatching","1","2","1","2","2","0","0","1","2","7"
"Shoplifting","343","258","360","232","417","416","463","446","216","277"
"From Motor Vehicle","559","427","364","643","581","578","573","444","434","393"
"Motor Vehicle Accessories","102","151","91","76","86","77","84","142","382","295"
"Bicycles","81","105","114","117","96","99","58","56","32","28"
"From Building","60","79","67","67","128","123","71","59","69","63"
"Coin Operated Machine","9","7","6","3","2","1","4","5","0","1"
"Other","556","462","486","575","435","447","442","443","402","442"
"Value","","","","","","","","","",""
"Over $400","551","541","470","626","570","566","571","606","null","null"
"Over $200","0","0","0","0","0","0","0","0","961","993"
"$200 through $400","289","249","231","248","292","287","257","240","null","null"
"$50 through $199","350","307","361","373","428","432","429","346","205","211"
"Under $50","526","401","430","472","463","458","440","408","376","306"
"Arson","18","24","18","9","17","12","8","14","17","7"
"Structural Property","7","10","9","6","7","5","6","7","9","2"
"Mobile Property","7","10","2","2","3","6","0","5","0","2"
"Other Property","4","4","7","1","7","1","2","2","8","3"
