" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","351","321","329","360","274","267","256","347","335","326"
"Homicide","4","6","3","3","8","4","3","7","2","4"
"Rape (Forcible Rape prior to 2014)","16","21","20","31","52","38","46","49","54","51"
"Rape","16","21","19","31","49","36","44","48","52","50"
"Attempted Rape","0","0","1","0","3","2","2","1","2","1"
"Robbery","26","44","31","52","46","30","30","42","47","41"
"Weapon","","","","","","","","","",""
"Firearm","4","7","4","8","9","4","5","11","11","6"
"Knife or Cutting Instrument","2","7","3","6","4","5","5","0","8","3"
"Other Weapon","4","8","2","4","6","3","4","6","8","6"
"Strong-Arm","16","22","22","34","27","18","16","25","20","26"
"Location","","","","","","","","","",""
"Highway","6","5","6","8","8","3","4","7","10","12"
"Commercial","2","6","9","11","8","2","2","3","5","9"
"Gas Station","0","0","1","1","1","1","0","2","3","1"
"Convenience Store","1","4","0","2","2","2","0","1","3","5"
"Residence","8","14","8","10","10","5","8","13","14","7"
"Bank","0","0","0","3","0","0","0","0","0","0"
"Miscellaneous","9","15","7","17","17","17","16","16","12","7"
"Aggravated Assault","305","250","275","274","168","195","177","249","232","230"
"Weapon","","","","","","","","","",""
"Firearm","14","3","17","12","21","9","13","21","33","49"
"Knife or Cutting Instrument","33","24","19","32","24","25","23","33","36","27"
"Other Weapon","190","156","163","149","23","71","76","71","114","90"
"Hands  Fists  Feet","68","67","76","81","100","90","65","124","49","64"
"Property Crimes","1,676","1,589","1,663","1,937","1,823","1,616","1,623","1,294","1,289","1,486"
"Burglary","482","449","468","574","447","428","436","290","279","242"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","173","166","187","251","219","181","229","163","99","41"
"No Force","309","283","281","323","228","247","207","127","180","201"
"Location / Time","","","","","","","","","",""
"Residence","258","230","291","335","256","229","231","157","141","127"
"Night","76","68","84","99","62","56","62","42","41","46"
"Day","115","86","95","113","135","130","104","63","70","68"
"Unknown","67","76","112","123","59","43","65","52","30","13"
"Non-Residence","224","219","177","239","191","199","205","133","138","115"
"Night","79","64","69","81","70","61","92","52","67","38"
"Day","105","92","47","98","84","84","72","50","51","60"
"Unknown","40","63","61","60","37","54","41","31","20","17"
"Motor Vehicle Theft","266","270","269","284","256","264","254","210","280","341"
"Automotive","138","113","135","127","144","148","135","96","144","151"
"Trucks and Buses","80","109","80","105","70","75","77","66","79","131"
"Other","48","48","54","52","42","41","42","48","57","59"
"Larceny-Theft","928","870","926","1,079","1,120","924","933","794","730","903"
"Type","","","","","","","","","",""
"Pocket-Picking","2","3","0","2","3","0","3","1","6","8"
"Purse-Snatching","3","2","1","8","8","3","0","1","6","9"
"Shoplifting","37","53","99","111","172","119","114","146","110","167"
"From Motor Vehicle","269","293","242","297","240","226","226","162","223","174"
"Motor Vehicle Accessories","23","30","32","49","60","66","63","29","74","118"
"Bicycles","69","37","52","64","28","24","18","19","24","54"
"From Building","266","245","290","276","310","222","205","171","64","39"
"Coin Operated Machine","7","3","0","6","2","1","4","1","1","1"
"Other","252","204","210","266","297","263","300","264","222","333"
"Value","","","","","","","","","",""
"Over $400","273","206","198","204","262","270","284","251","null","null"
"Over $200","0","0","0","0","0","0","0","0","415","549"
"$200 through $400","180","192","135","150","159","104","118","117","null","null"
"$50 through $199","220","224","259","292","308","239","245","193","131","120"
"Under $50","255","248","334","433","391","311","286","233","184","234"
"Arson","19","7","23","13","12","21","22","35","44","53"
"Structural Property","4","5","12","8","8","13","16","24","12","13"
"Mobile Property","3","0","4","1","0","0","0","0","3","2"
"Other Property","12","2","7","4","4","8","6","11","29","38"
