" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","30","34","34","66","77","79","61","82","83","87"
"Homicide","1","3","1","3","1","2","2","2","1","0"
"Rape (Forcible Rape prior to 2014)","1","3","6","3","5","11","10","3","5","5"
"Rape","1","2","6","3","5","11","10","3","5","5"
"Attempted Rape","0","1","0","0","0","0","0","0","0","0"
"Robbery","5","6","5","6","8","7","9","7","7","2"
"Weapon","","","","","","","","","",""
"Firearm","2","2","1","5","7","1","1","0","4","1"
"Knife or Cutting Instrument","0","0","0","0","0","1","0","0","0","0"
"Other Weapon","2","2","3","1","0","2","6","6","1","0"
"Strong-Arm","1","2","1","0","1","3","2","1","2","1"
"Location","","","","","","","","","",""
"Highway","0","0","0","0","0","0","0","1","1","1"
"Commercial","0","0","0","0","0","0","0","0","0","0"
"Gas Station","0","0","0","0","0","0","0","0","0","0"
"Convenience Store","0","0","0","0","0","0","0","0","0","0"
"Residence","0","0","0","0","0","0","0","0","2","1"
"Bank","0","0","0","0","2","0","0","0","3","0"
"Miscellaneous","5","6","5","6","6","7","9","6","1","0"
"Aggravated Assault","23","22","22","54","63","59","40","70","70","80"
"Weapon","","","","","","","","","",""
"Firearm","2","6","2","19","16","6","3","13","11","5"
"Knife or Cutting Instrument","4","5","4","10","10","4","0","1","6","7"
"Other Weapon","5","7","10","17","23","14","27","43","26","27"
"Hands  Fists  Feet","12","4","6","8","14","35","10","13","27","41"
"Property Crimes","139","174","244","299","254","257","237","198","221","238"
"Burglary","48","56","96","101","84","89","83","56","73","74"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","29","28","72","71","67","67","68","55","58","46"
"No Force","19","28","24","30","17","22","15","1","15","28"
"Location / Time","","","","","","","","","",""
"Residence","23","34","52","60","55","52","22","1","30","42"
"Night","3","3","2","8","5","6","4","0","5","8"
"Day","3","8","10","8","10","10","9","1","25","34"
"Unknown","17","23","40","44","40","36","9","0","0","0"
"Non-Residence","25","22","44","41","29","37","61","55","43","32"
"Night","4","2","8","3","6","11","16","10","11","5"
"Day","3","0","1","3","1","3","36","44","31","27"
"Unknown","18","20","35","35","22","23","9","1","1","0"
"Motor Vehicle Theft","28","19","57","60","64","51","32","32","36","34"
"Automotive","19","13","54","59","63","49","28","31","32","7"
"Trucks and Buses","4","2","2","0","0","0","2","0","2","22"
"Other","5","4","1","1","1","2","2","1","2","5"
"Larceny-Theft","63","99","91","138","106","117","122","110","112","130"
"Type","","","","","","","","","",""
"Pocket-Picking","17","2","0","9","6","16","0","0","0","0"
"Purse-Snatching","2","1","1","0","1","0","0","0","0","2"
"Shoplifting","5","12","4","16","13","6","12","9","7","7"
"From Motor Vehicle","9","18","22","33","16","18","6","1","13","4"
"Motor Vehicle Accessories","3","8","0","5","14","17","23","24","26","39"
"Bicycles","0","1","3","2","1","5","0","0","1","4"
"From Building","5","16","31","20","17","14","4","0","1","3"
"Coin Operated Machine","0","0","1","0","2","1","0","0","0","0"
"Other","22","41","29","53","36","40","77","76","64","71"
"Value","","","","","","","","","",""
"Over $400","26","41","46","60","47","52","41","43","null","null"
"Over $200","0","0","0","0","0","0","0","0","57","60"
"$200 through $400","5","19","14","10","15","20","12","9","null","null"
"$50 through $199","20","16","16","34","10","20","25","15","10","14"
"Under $50","12","23","15","34","34","25","44","43","45","56"
"Arson","0","2","0","0","1","6","2","4","14","9"
"Structural Property","0","2","0","0","1","5","1","1","11","1"
"Mobile Property","0","0","0","0","0","0","1","0","0","1"
"Other Property","0","0","0","0","0","1","0","3","3","7"
