" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","5,131","4,951","3,962","3,520","3,132","3,266","2,693","2,044","1,714","1,784"
"Felony Offense","4,757","4,631","3,604","3,102","2,785","2,994","2,364","1,841","1,615","1,688"
"Misdemeanor Offense","374","320","358","418","347","272","329","203","99","96"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","2,933","2,862","2,356","2,682","2,500","2,259","1,766","1,017","638","1,424"
"Removed from Probation","2,759","3,042","3,345","3,124","2,888","2,125","2,339","1,666","781","1,333"
"Terminated","1,477","1,614","2,078","1,804","1,758","1,242","1,529","1,176","580","914"
"Revoked","1,016","1,073","973","1,133","1,103","864","786","482","185","340"
"Other","266","355","294","187","27","19","24","8","16","79"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","2,402","2,473","1,738","1,610","1,632","1,676","1,287","794","573","1,283"
"Removed from Probation","2,194","2,599","2,765","2,112","1,949","1,467","1,917","1,317","671","1,184"
"Terminated","1,189","1,354","1,821","1,302","1,292","914","1,295","954","501","811"
"Revoked","779","931","689","647","631","537","601","356","154","300"
"Other","226","314","255","163","26","16","21","7","16","73"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","531","389","618","1,072","868","583","479","223","65","141"
"Removed from Probation","565","443","580","1,012","939","658","422","349","110","149"
"Terminated","288","260","257","502","466","328","234","222","79","103"
"Revoked","237","142","284","486","472","327","185","126","31","40"
"Other","40","41","39","24","1","3","3","1","0","6"
