" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Crimes","","","","","","","","","",""
"Violent Crimes","103","151","227","187","206","197","195","244","322","375"
"Homicide","0","1","0","1","2","2","2","1","1","0"
"Rape (Forcible Rape prior to 2014)","8","30","54","54","48","60","68","80","127","70"
"Rape","8","30","54","54","44","60","68","80","127","69"
"Attempted Rape","0","0","0","0","4","0","0","0","0","1"
"Robbery","14","8","32","15","20","19","13","24","19","14"
"Weapon","","","","","","","","","",""
"Firearm","4","0","6","0","3","0","3","7","3","7"
"Knife or Cutting Instrument","2","3","6","3","0","1","0","2","1","3"
"Other Weapon","1","1","3","0","3","3","3","3","1","0"
"Strong-Arm","7","4","17","12","14","15","7","12","14","4"
"Location","","","","","","","","","",""
"Highway","2","0","12","4","4","3","3","6","3","2"
"Commercial","3","1","5","0","6","1","3","9","3","1"
"Gas Station","0","0","0","1","0","0","1","1","0","0"
"Convenience Store","1","0","2","0","0","0","0","1","3","3"
"Residence","3","5","7","8","6","8","1","2","5","5"
"Bank","0","0","3","0","1","1","0","0","0","0"
"Miscellaneous","5","2","3","2","3","6","5","5","5","3"
"Aggravated Assault","81","112","141","117","136","116","112","139","175","291"
"Weapon","","","","","","","","","",""
"Firearm","6","11","6","7","3","6","4","10","10","22"
"Knife or Cutting Instrument","14","13","11","11","8","12","7","11","10","20"
"Other Weapon","33","36","63","44","65","44","42","42","74","126"
"Hands  Fists  Feet","28","52","61","55","60","54","59","76","81","123"
"Property Crimes","1,227","1,157","1,280","1,272","1,124","985","1,074","967","951","728"
"Burglary","459","375","493","436","379","313","375","324","304","198"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","166","142","216","190","195","160","215","167","173","75"
"No Force","293","233","277","246","184","153","160","157","131","123"
"Location / Time","","","","","","","","","",""
"Residence","272","205","319","284","232","220","198","182","167","95"
"Night","46","35","47","50","25","51","47","50","37","32"
"Day","153","114","180","145","134","100","77","75","79","36"
"Unknown","73","56","92","89","73","69","74","57","51","27"
"Non-Residence","187","170","174","152","147","93","177","142","137","103"
"Night","55","56","67","53","47","35","53","41","50","36"
"Day","96","87","65","69","73","40","87","50","58","42"
"Unknown","36","27","42","30","27","18","37","51","29","25"
"Motor Vehicle Theft","99","110","107","115","122","108","101","85","128","61"
"Automotive","85","96","91","92","79","50","53","46","57","20"
"Trucks and Buses","11","7","7","5","27","43","27","19","43","25"
"Other","3","7","9","18","16","15","21","20","28","16"
"Larceny-Theft","669","672","680","721","623","564","598","558","519","469"
"Type","","","","","","","","","",""
"Pocket-Picking","3","1","1","0","1","1","0","2","1","7"
"Purse-Snatching","6","2","1","0","0","0","0","5","6","5"
"Shoplifting","48","84","82","91","68","79","74","87","75","85"
"From Motor Vehicle","142","79","118","117","87","93","161","105","130","102"
"Motor Vehicle Accessories","75","85","89","78","83","59","50","43","45","38"
"Bicycles","6","4","3","13","14","5","14","4","5","4"
"From Building","167","199","179","193","183","161","132","137","102","60"
"Coin Operated Machine","4","2","1","1","2","1","2","8","4","2"
"Other","218","216","206","228","185","165","165","167","151","166"
"Value","","","","","","","","","",""
"Over $400","230","195","187","239","223","210","239","224","null","null"
"Over $200","0","0","0","0","0","0","0","0","312","294"
"$200 through $400","108","83","94","101","90","64","74","77","null","null"
"$50 through $199","124","130","142","123","91","91","76","95","113","81"
"Under $50","207","264","257","258","219","199","209","162","94","94"
"Arson","15","10","6","12","13","8","10","18","7","13"
"Structural Property","10","7","5","8","10","4","6","7","7","6"
"Mobile Property","0","0","0","1","0","0","0","2","0","1"
"Other Property","5","3","1","3","3","4","4","9","0","6"
