" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","11,576","10,423","9,207","8,532","8,367","9,396","8,476","7,627","5,661","5,716"
"Felony Offense","3,527","2,635","2,023","1,998","2,033","2,178","2,098","1,986","1,712","2,033"
"Misdemeanor Offense","8,049","7,788","7,184","6,534","6,334","7,218","6,378","5,641","3,949","3,683"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","4,904","5,123","11,745","4,044","4,067","4,255","2,886","1,744","1,739","1,845"
"Removed from Probation","4,301","3,685","11,183","3,505","3,344","2,328","2,890","1,978","3,111","3,382"
"Terminated","1,395","1,796","9,188","2,024","2,013","1,764","2,178","1,739","2,346","3,158"
"Revoked","2,906","1,889","1,995","1,481","1,331","564","712","239","765","224"
"Other","0","0","0","0","0","0","0","0","0","0"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","1,790","1,845","1,088","1,225","1,054","1,232","924","725","963","1,060"
"Removed from Probation","1,033","1,154","613","853","733","741","785","670","994","676"
"Terminated","862","1,017","552","798","712","741","785","635","994","670"
"Revoked","171","137","61","55","21","0","0","35","0","6"
"Other","0","0","0","0","0","0","0","0","0","0"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","3,114","3,278","10,657","2,819","3,013","3,023","1,962","1,019","776","785"
"Removed from Probation","3,268","2,531","10,570","2,652","2,611","1,587","2,105","1,308","2,117","2,706"
"Terminated","533","779","8,636","1,226","1,301","1,023","1,393","1,104","1,352","2,488"
"Revoked","2,735","1,752","1,934","1,426","1,310","564","712","204","765","218"
"Other","0","0","0","0","0","0","0","0","0","0"
