" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","2,697","2,417","2,838","2,693","2,982","2,295","1,480","1,041","520","476"
"Felony Offense","2,662","2,380","2,628","2,337","2,444","1,860","1,157","886","454","434"
"Misdemeanor Offense","35","37","210","356","538","435","323","155","66","42"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","590","886","904","753","994","865","844","469","377","504"
"Removed from Probation","551","1,166","483","898","789","1,552","1,651","906","904","526"
"Terminated","417","500","268","343","508","692","780","669","578","227"
"Revoked","134","162","70","108","215","231","237","65","170","243"
"Other","0","504","145","447","66","629","634","172","156","56"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","585","884","694","560","704","743","793","442","366","476"
"Removed from Probation","543","1,166","446","851","587","1,327","1,496","707","798","480"
"Terminated","409","500","268","343","421","525","625","557","473","205"
"Revoked","134","162","70","100","100","179","237","65","169","239"
"Other","0","504","108","408","66","623","634","85","156","36"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","5","2","210","193","290","122","51","27","11","28"
"Removed from Probation","8","0","37","47","202","225","155","199","106","46"
"Terminated","8","0","0","0","87","167","155","112","105","22"
"Revoked","0","0","0","8","115","52","0","0","1","4"
"Other","0","0","37","39","0","6","0","87","0","20"
