" ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"TOTAL PROBATION CASELOAD","733","655","188","26","28","538","514","489","493","445"
"Felony Offense","669","607","179","16","25","487","456","433","464","423"
"Misdemeanor Offense","64","48","9","10","3","51","58","56","29","22"
"TOTAL PROBATION ACTIONS","","","","","","","","","",""
"Placed on Probation","486","554","495","531","465","371","221","200","163","261"
"Removed from Probation","533","632","962","693","463","393","248","227","229","241"
"Terminated","201","362","630","430","368","243","106","121","149","110"
"Revoked","170","138","159","113","0","41","87","65","56","69"
"Other","162","132","173","150","95","109","55","41","24","62"
"Felony Offense","","","","","","","","","",""
"Placed on Probation","440","512","462","498","432","318","183","175","159","253"
"Removed from Probation","442","574","890","661","423","353","215","199","204","226"
"Terminated","167","325","599","415","345","221","96","110","133","99"
"Revoked","156","136","159","113","0","37","73","56","49","69"
"Other","119","113","132","133","78","95","46","33","22","58"
"Misdemeanor Offense","","","","","","","","","",""
"Placed on Probation","46","42","33","33","33","53","38","25","4","8"
"Removed from Probation","91","58","72","32","40","40","33","28","25","15"
"Terminated","34","37","31","15","23","22","10","11","16","11"
"Revoked","14","2","0","0","0","4","14","9","7","0"
"Other","43","19","41","17","17","14","9","8","2","4"
