County,Crimes,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alameda,Violent Crimes,"11,739","10,356","9,679","10,127","9,923","9,948","9,734","9,645","10,524","11,125"
Alameda,Property Crimes,"60,133","57,620","60,009","59,744","63,861","58,856","66,731","58,293","61,133","69,271"
Alameda,Arson,310,326,342,371,439,444,381,495,486,463
Alpine,Violent Crimes,6.0,4.0,9.0,6.0,13.0,12.0,13.0,19.0,19.0,11.0
Alpine,Property Crimes,33.0,24.0,35.0,34.0,32.0,29.0,32.0,14.0,23.0,25.0
Alpine,Arson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,Violent Crimes,100.0,81.0,84.0,92.0,115.0,118.0,110.0,156.0,135.0,136.0
Amador,Property Crimes,798.0,629.0,602.0,669.0,649.0,596.0,670.0,582.0,716.0,500.0
Amador,Arson,12.0,4.0,5.0,4.0,5.0,7.0,15.0,7.0,7.0,5.0
Butte,Violent Crimes,634,678,778,790,921,"1,214","1,024","1,069","1,110","1,291"
Butte,Property Crimes,"6,223","6,631","7,543","7,307","7,280","5,824","5,322","4,345","4,785","3,949"
Butte,Arson,55,87,204,213,174,82,75,132,80,85
Calaveras,Violent Crimes,130,113.0,129.0,178.0,208.0,197.0,145.0,158.0,185.0,257.0
Calaveras,Property Crimes,"1,080",989.0,808.0,656.0,790.0,860.0,838.0,766.0,677.0,676.0
Calaveras,Arson,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Colusa,Violent Crimes,43.0,40.0,49.0,46.0,78.0,57.0,58.0,61.0,55.0,65.0
Colusa,Property Crimes,535.0,350.0,374.0,357.0,339.0,365.0,347.0,331.0,316.0,361.0
Colusa,Arson,1.0,2.0,4.0,0.0,4.0,4.0,5.0,4.0,3.0,4.0
Contra Costa,Violent Crimes,"3,961","3,650","3,788","3,895","3,830","3,880","4,138","3,870","4,001","4,674"
Contra Costa,Property Crimes,"31,351","32,232","32,394","28,939","29,735","27,551","28,555","23,698","22,571","24,088"
Contra Costa,Arson,151,153,154,199,232,213,208,286,232,231
