County,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alameda,72182.0,68302.0,70030.0,70242.0,74223.0,69248.0,76846.0,68433.0,72143.0,80859.0
Alpine,39.0,28.0,44.0,40.0,45.0,41.0,45.0,33.0,42.0,36.0
Amador,910.0,714.0,691.0,765.0,769.0,721.0,795.0,745.0,858.0,641.0
Butte,6912.0,7396.0,8525.0,8310.0,8375.0,7120.0,6421.0,5546.0,5975.0,5325.0
Calaveras,1210.0,1104.0,937.0,834.0,998.0,1057.0,983.0,924.0,862.0,935.0
Colusa,579.0,392.0,427.0,403.0,421.0,426.0,410.0,396.0,374.0,430.0
Contra Costa,35463.0,36035.0,36336.0,33033.0,33797.0,31644.0,32901.0,27854.0,26804.0,28993.0
Del Norte,775.0,821.0,748.0,783.0,862.0,741.0,931.0,862.0,819.0,838.0
El Dorado,3668.0,3560.0,3493.0,3439.0,3233.0,3353.0,2886.0,2945.0,2872.0,2601.0
Fresno,41972.0,37573.0,39130.0,38239.0,36623.0,33648.0,28206.0,31052.0,32696.0,35954.0
Glenn,869.0,661.0,624.0,671.0,625.0,686.0,620.0,599.0,479.0,425.0
Humboldt,5514.0,5337.0,5006.0,4719.0,4907.0,4595.0,4623.0,4172.0,4522.0,3737.0
Imperial,6265.0,6165.0,6833.0,5929.0,5544.0,5028.0,4169.0,4094.0,3899.0,3660.0
Inyo,384.0,411.0,337.0,449.0,645.0,519.0,487.0,451.0,463.0,472.0
Kern,38896.0,33394.0,35964.0,38393.0,34614.0,36272.0,36014.0,35114.0,36394.0,36653.0
Kings,4477.0,4190.0,4622.0,3827.0,3720.0,3502.0,3250.0,3300.0,3024.0,2775.0
Lake,2210.0,2161.0,2252.0,2146.0,2055.0,1696.0,1591.0,1553.0,1602.0,1664.0
Lassen,712.0,665.0,820.0,742.0,878.0,795.0,694.0,575.0,463.0,596.0
Los Angeles,271064.0,262186.0,292595.0,310935.0,311167.0,299065.0,283319.0,272248.0,290682.0,308302.0
Madera,4962.0,4292.0,4576.0,4746.0,4407.0,3892.0,3547.0,2736.0,3552.0,3161.0
Marin,5548.0,5069.0,5840.0,5473.0,5496.0,5252.0,5977.0,5947.0,4187.0,5092.0
Mariposa,390.0,347.0,372.0,321.0,398.0,278.0,261.0,261.0,325.0,300.0
Mendocino,2356.0,2084.0,2049.0,2058.0,1780.0,1617.0,1635.0,1856.0,1723.0,808.0
Merced,9776.0,8674.0,9709.0,9263.0,8837.0,8409.0,8507.0,7768.0,9224.0,8707.0
Modoc,239.0,216.0,195.0,204.0,239.0,185.0,109.0,116.0,72.0,135.0
Mono,251.0,220.0,214.0,199.0,254.0,176.0,257.0,204.0,142.0,205.0
Monterey,12794.0,12492.0,11518.0,12260.0,11903.0,10835.0,9239.0,9271.0,9256.0,8341.0
Napa,3012.0,2922.0,3182.0,3133.0,2828.0,2748.0,2965.0,2859.0,2528.0,2516.0
Nevada,2230.0,1908.0,2022.0,2031.0,2055.0,1543.0,1433.0,1263.0,1137.0,1533.0
Orange,67960.0,61232.0,75694.0,73598.0,73593.0,69252.0,66246.0,68755.0,67325.0,69165.0
Placer,7915.0,7274.0,7926.0,7735.0,7725.0,7050.0,6776.0,6510.0,6650.0,6729.0
Plumas,484.0,404.0,380.0,480.0,456.0,474.0,445.0,455.0,451.0,446.0
Riverside,71550.0,67949.0,72870.0,72989.0,69363.0,67910.0,65773.0,60335.0,57548.0,64891.0
Sacramento,52113.0,47964.0,50482.0,47120.0,44315.0,42608.0,43267.0,40542.0,42798.0,46477.0
San Benito,1044.0,936.0,908.0,704.0,745.0,818.0,624.0,759.0,869.0,732.0
San Bernardino,66443.0,63492.0,69944.0,65798.0,62634.0,63110.0,60051.0,52799.0,52028.0,56531.0
San Diego,81815.0,70027.0,74728.0,72735.0,68432.0,68236.0,66922.0,61509.0,66974.0,65660.0
