County,Crimes,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alameda,Violent Crimes,11739.0,10356.0,9679.0,10127.0,9923.0,9948.0,9734.0,9645.0,10524.0,11125.0
Alameda,Property Crimes,60133.0,57620.0,60009.0,59744.0,63861.0,58856.0,66731.0,58293.0,61133.0,69271.0
Alameda,Arson,310.0,326.0,342.0,371.0,439.0,444.0,381.0,495.0,486.0,463.0
Alpine,Violent Crimes,6.0,4.0,9.0,6.0,13.0,12.0,13.0,19.0,19.0,11.0
Alpine,Property Crimes,33.0,24.0,35.0,34.0,32.0,29.0,32.0,14.0,23.0,25.0
Alpine,Arson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,Violent Crimes,100.0,81.0,84.0,92.0,115.0,118.0,110.0,156.0,135.0,136.0
Amador,Property Crimes,798.0,629.0,602.0,669.0,649.0,596.0,670.0,582.0,716.0,500.0
Amador,Arson,12.0,4.0,5.0,4.0,5.0,7.0,15.0,7.0,7.0,5.0
Butte,Violent Crimes,634.0,678.0,778.0,790.0,921.0,1214.0,1024.0,1069.0,1110.0,1291.0
Butte,Property Crimes,6223.0,6631.0,7543.0,7307.0,7280.0,5824.0,5322.0,4345.0,4785.0,3949.0
Butte,Arson,55.0,87.0,204.0,213.0,174.0,82.0,75.0,132.0,80.0,85.0
Calaveras,Violent Crimes,130.0,113.0,129.0,178.0,208.0,197.0,145.0,158.0,185.0,257.0
Calaveras,Property Crimes,1080.0,989.0,808.0,656.0,790.0,860.0,838.0,766.0,677.0,676.0
Calaveras,Arson,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Colusa,Violent Crimes,43.0,40.0,49.0,46.0,78.0,57.0,58.0,61.0,55.0,65.0
Colusa,Property Crimes,535.0,350.0,374.0,357.0,339.0,365.0,347.0,331.0,316.0,361.0
Colusa,Arson,1.0,2.0,4.0,0.0,4.0,4.0,5.0,4.0,3.0,4.0
Contra Costa,Violent Crimes,3961.0,3650.0,3788.0,3895.0,3830.0,3880.0,4138.0,3870.0,4001.0,4674.0
Contra Costa,Property Crimes,31351.0,32232.0,32394.0,28939.0,29735.0,27551.0,28555.0,23698.0,22571.0,24088.0
Contra Costa,Arson,151.0,153.0,154.0,199.0,232.0,213.0,208.0,286.0,232.0,231.0
Del Norte,Violent Crimes,175.0,165.0,142.0,168.0,151.0,137.0,109.0,199.0,230.0,175.0
Del Norte,Property Crimes,589.0,649.0,592.0,608.0,692.0,595.0,804.0,637.0,570.0,637.0
Del Norte,Arson,11.0,7.0,14.0,7.0,19.0,9.0,18.0,26.0,19.0,26.0
El Dorado,Violent Crimes,390.0,409.0,338.0,389.0,294.0,475.0,323.0,372.0,531.0,526.0
El Dorado,Property Crimes,3272.0,3138.0,3151.0,3042.0,2934.0,2864.0,2559.0,2561.0,2318.0,2059.0
El Dorado,Arson,6.0,13.0,4.0,8.0,5.0,14.0,4.0,12.0,23.0,16.0
Fresno,Violent Crimes,4868.0,4547.0,5228.0,5981.0,5745.0,5889.0,4737.0,5940.0,7405.0,7299.0
Fresno,Property Crimes,36698.0,32535.0,33447.0,31784.0,30354.0,27313.0,23195.0,24607.0,25108.0,28167.0
Fresno,Arson,406.0,491.0,455.0,474.0,524.0,446.0,274.0,505.0,183.0,488.0
Glenn,Violent Crimes,151.0,125.0,106.0,103.0,117.0,80.0,91.0,152.0,115.0,118.0
Glenn,Property Crimes,714.0,527.0,514.0,559.0,503.0,603.0,526.0,446.0,352.0,300.0
Glenn,Arson,4.0,9.0,4.0,9.0,5.0,3.0,3.0,1.0,12.0,7.0
Humboldt,Violent Crimes,474.0,485.0,539.0,682.0,646.0,571.0,626.0,630.0,670.0,639.0
Humboldt,Property Crimes,4984.0,4787.0,4400.0,4001.0,4196.0,3957.0,3926.0,3464.0,3783.0,3035.0
Humboldt,Arson,56.0,65.0,67.0,36.0,65.0,67.0,71.0,78.0,69.0,63.0
Imperial,Violent Crimes,517.0,583.0,723.0,676.0,628.0,645.0,589.0,582.0,560.0,527.0
Imperial,Property Crimes,5698.0,5536.0,6039.0,5195.0,4836.0,4293.0,3476.0,3384.0,3208.0,2982.0
Imperial,Arson,50.0,46.0,71.0,58.0,80.0,90.0,104.0,128.0,131.0,151.0
Inyo,Violent Crimes,75.0,106.0,97.0,114.0,128.0,122.0,94.0,127.0,121.0,129.0
Inyo,Property Crimes,308.0,303.0,240.0,334.0,514.0,394.0,393.0,321.0,337.0,340.0
Inyo,Arson,1.0,2.0,0.0,1.0,3.0,3.0,0.0,3.0,5.0,3.0
Kern,Violent Crimes,4969.0,4465.0,4908.0,5128.0,4989.0,5289.0,5567.0,6216.0,6718.0,6687.0
Kern,Property Crimes,33382.0,28283.0,30342.0,32570.0,28933.0,30268.0,29604.0,27890.0,29208.0,29542.0
Kern,Arson,545.0,646.0,714.0,695.0,692.0,715.0,843.0,1008.0,468.0,424.0
Kings,Violent Crimes,725.0,696.0,694.0,639.0,754.0,784.0,757.0,777.0,686.0,647.0
Kings,Property Crimes,3723.0,3475.0,3901.0,3167.0,2935.0,2701.0,2466.0,2506.0,2324.0,2110.0
Kings,Arson,29.0,19.0,27.0,21.0,31.0,17.0,27.0,17.0,14.0,18.0
Lake,Violent Crimes,356.0,307.0,346.0,379.0,396.0,338.0,347.0,351.0,392.0,478.0
Lake,Property Crimes,1833.0,1832.0,1887.0,1746.0,1628.0,1341.0,1228.0,1166.0,1188.0,1170.0
Lake,Arson,21.0,22.0,19.0,21.0,31.0,17.0,16.0,36.0,22.0,16.0
Lassen,Violent Crimes,127.0,140.0,220.0,225.0,270.0,254.0,274.0,210.0,80.0,143.0
Lassen,Property Crimes,576.0,521.0,591.0,513.0,598.0,531.0,419.0,354.0,379.0,447.0
Lassen,Arson,9.0,4.0,9.0,4.0,10.0,10.0,1.0,11.0,4.0,6.0
Los Angeles,Violent Crimes,40384.0,42725.0,50466.0,56351.0,59924.0,58567.0,56416.0,54600.0,58177.0,61016.0
Los Angeles,Property Crimes,228419.0,217493.0,240050.0,252224.0,248714.0,237814.0,224192.0,213377.0,227695.0,244083.0
Los Angeles,Arson,2261.0,1968.0,2079.0,2360.0,2529.0,2684.0,2711.0,4271.0,4810.0,3203.0
Madera,Violent Crimes,1017.0,888.0,858.0,1024.0,891.0,896.0,830.0,578.0,1022.0,818.0
Madera,Property Crimes,3934.0,3380.0,3703.0,3705.0,3484.0,2969.0,2693.0,2132.0,2500.0,2305.0
Madera,Arson,11.0,24.0,15.0,17.0,32.0,27.0,24.0,26.0,30.0,38.0
Marin,Violent Crimes,491.0,454.0,518.0,475.0,463.0,528.0,516.0,623.0,348.0,610.0
