CTYNAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
California,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39501653,39142991,39029342
Alameda County,1512997,1530893,1553729,1579508,1607638,1634326,1650765,1659824,1666596,1668412,1680380,1643837,1628997
Alpine County,1161,1093,1111,1131,1083,1080,1053,1116,1081,1113,1204,1235,1190
Amador County,37883,37539,37105,36624,36734,37039,37443,38549,39349,39693,40532,41144,41412
Butte County,219951,219983,220877,221649,223525,224643,226222,228700,230330,218726,210135,206190,207303
Calaveras County,45467,45159,44816,44658,44677,44972,45307,45658,45747,46119,45346,46219,46563
Colusa County,21435,21315,21274,21239,21156,21208,21476,21558,21389,21474,21858,21913,21914
Contra Costa County,1052516,1065361,1077439,1093253,1108665,1124148,1137259,1145623,1150840,1152883,1165986,1163298,1156966
Del Norte County,28568,28447,28195,27821,27182,27198,27415,27383,27793,27903,27601,27553,27082
El Dorado County,181161,180963,180613,181529,183157,184627,186027,188793,190925,193057,191220,193590,192646
Fresno County,932011,939251,944779,951143,960072,968889,976231,984726,991298,997847,1009503,1012992,1015190
Glenn County,28125,28131,27836,27784,27802,27723,27796,27876,27899,28445,28896,28664,28339
Humboldt County,135010,135257,134597,134447,134556,135177,136477,136710,136502,135839,136261,134836,135010
Imperial County,174704,175731,176487,176301,177786,178701,179881,181250,181062,180439,179595,179215,178713
Inyo County,18503,18385,18344,18348,18280,18097,17897,17819,17894,17993,19001,18927,18718
Kern County,841365,848651,854392,862727,869837,876548,881094,887316,893618,898898,905828,912351,916108
Kings County,152342,151779,150884,150237,149373,149960,149269,149542,151221,152727,152790,152679,152981
Lake County,64736,64258,63966,63811,64056,64266,63912,64132,64394,64463,68195,68584,68191
Lassen County,34828,34235,33622,32128,31664,31256,30715,30919,30658,30694,32317,31813,29904
Los Angeles County,9821647,9873700,9931394,9987189,10033449,10077263,10094865,10092365,10061533,10011602,9992236,9811842,9721138
Madera County,151006,151685,151520,151295,153357,153448,153694,155079,156373,156717,156343,158910,160256
Marin County,252906,255380,256087,258441,260403,260974,260722,259975,260091,259085,261282,259162,256018
Mariposa County,18302,18199,17912,17840,17745,17653,17498,17461,17361,17117,17118,17107,17020
Mendocino County,87796,87335,87293,87070,87247,87131,87319,87690,87549,86932,91361,91003,89783
Merced County,256709,259249,260776,261888,264241,266133,267370,270837,273733,277114,281814,284458,290014
Modoc County,9698,9513,9358,9154,9078,9064,8957,8864,8816,8866,8663,8571,8511
Mono County,14256,14424,14328,14064,14130,14074,14256,14333,14400,14450,13226,13261,12978
Monterey County,416358,420379,424222,426163,427985,430178,433436,433803,433359,433380,438390,437249,432858
Napa County,136752,137668,138504,139522,140331,140766,140778,139818,138620,137678,137485,136206,134300
Nevada County,98795,98716,98165,97969,98605,98716,98939,99421,99472,99648,102249,103457,102293
Orange County,3016376,3050199,3078710,3105262,3126523,3148952,3164277,3174159,3175579,3170851,3185516,3161005,3151184
Placer County,350007,356323,360269,365415,369241,372870,379046,385348,392735,398918,405889,412789,417772
Plumas County,19915,19720,19380,18901,18631,18435,18691,18680,18830,19052,19749,19940,19351
Riverside County,2201562,2233840,2260763,2286087,2315238,2344648,2378282,2413058,2443221,2465569,2422847,2453178,2473902
Sacramento County,1421381,1433712,1444819,1457283,1474828,1493547,1511401,1527984,1539550,1551660,1586465,1588106,1584169
San Benito County,55544,56094,56704,57320,57891,58276,59270,60190,61415,62803,64521,66675,67579
San Bernardino County,2040803,2060596,2073088,2082101,2098346,2114352,2130726,2149847,2165627,2177279,2183239,2192882,2193656
San Diego County,3103260,3137236,3175148,3210788,3249307,3280825,3305462,3319019,3332483,3330459,3296045,3274954,3276208
San Francisco County,805519,815694,828963,839695,850918,863237,871343,877471,879676,878826,870393,811253,808437
San Joaquin County,687115,694265,699444,701831,711296,721919,732662,743286,752590,761571,780558,788140,793229
San Luis Obispo County,269800,271056,274174,275713,278271,280138,281884,282473,283250,282728,281879,279298,282013
San Mateo County,719948,728945,739700,749131,757653,765479,767928,768658,768410,764810,762511,739060,729181
Santa Barbara County,424218,425404,429635,434503,438921,442051,444112,444998,445137,445464,448244,437434,443837
Santa Clara County,1786001,1811891,1837605,1866050,1891286,1915736,1928144,1932251,1931985,1922411,1931026,1886595,1870945
Santa Cruz County,263174,264927,266391,268836,270863,273495,274476,274865,273713,272870,270462,260495,264370
Shasta County,177277,177613,177908,178447,178904,178386,178592,179403,179666,179645,181984,181981,180930
Sierra County,3220,3100,3068,3031,2976,2990,2956,3008,2961,2959,3228,3295,3217
Siskiyou County,44941,44622,44091,43550,43357,43275,43402,43647,43624,43663,43991,44026,43660
Solano County,413963,416325,419645,423634,428971,433378,438834,443554,445931,447434,452698,450350,448747
Sonoma County,484675,487231,489784,493870,498317,500598,502445,502203,497221,492318,488281,484315,482650
Stanislaus County,515137,517515,520336,523313,527814,532954,538986,544494,547855,549761,553217,552851,551275
Sutter County,94742,94466,94153,94457,94721,95224,95769,96161,96348,96910,99464,99038,98503
Tehama County,63562,63337,63213,62878,62797,63150,63468,63827,63904,65186,65682,65380,65245
Trinity County,13755,13685,13494,13427,13126,13094,12827,12727,12598,12337,16089,16061,15781
Tulare County,442953,446709,449625,452259,454858,456794,458991,462072,464279,465751,473891,476946,477544
Tuolumne County,55164,54808,54201,53975,53830,53599,53729,53953,54250,54290,55374,55065,54531
Ventura County,825144,829908,833287,837729,842113,845599,846921,848264,847222,844203,843310,839358,832605
Yolo County,201061,201931,204558,206267,208368,211998,215569,218470,220082,220019,216291,213039,222115
Yuba County,72345,72480,72770,73082,73527,74039,74920,76575,77418,78549,81994,83216,84310
